,GPS_Height,Vert_Prec,Horz_Prec,Northing,Easting,Point_ID,ORIG_FID, D0,D60,D120,D180,D240,D300,D360,D420,D480,D540,D600,D660,D720,D780,D840,D900,D960,D1020,D1080,D1140,D1200
132,2292.33,0.5,0.5,718549.3,460689.58,162,159,0,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
133,2293.0,0.5,0.6,718552.13,460695.07,163,160,0,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
134,2295.22,0.5,0.4,718552.37,460701.59,164,161,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
135,2296.01,0.5,0.5,718557.7,460707.37,165,162,0,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
136,2297.06,0.5,0.4,718556.72,460712.16,166,163,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
137,2294.46,0.5,0.5,718545.59,460728.35,170,167,0,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
138,2292.71,0.5,0.4,718550.74,460732.13,171,168,0,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
139,2294.55,0.5,0.5,718554.24,460725.52,172,169,0,0,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
140,2296.12,0.5,0.4,718547.94,460722.46,173,170,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5,5
141,2296.1,0.5,0.5,718556.2,460719.21,174,171,0,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
142,2293.35,0.5,0.4,718563.92,460716.8,177,174,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
143,2291.85,0.5,0.5,718562.71,460722.64,178,175,0,0,1,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
144,2289.48,0.5,0.4,718559.24,460730.65,179,176,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
145,2284.62,0.6,0.6,718570.03,460735.0,181,178,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
146,2286.34,0.4,0.4,718572.28,460729.87,182,179,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
147,2289.49,0.4,0.4,718570.6,460722.43,183,180,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
148,2293.51,0.5,0.4,718564.4,460710.57,185,182,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
149,2292.86,0.4,0.4,718562.26,460703.59,186,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2293.03,0.5,0.4,718558.57,460697.71,188,185,0,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
151,2290.24,0.5,0.4,718562.13,460695.66,189,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
152,2289.41,0.5,0.4,718561.58,460689.38,190,187,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,5,5
153,2290.46,0.5,0.4,718556.28,460689.26,191,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
154,2288.7,0.5,0.5,718554.3,460683.36,192,189,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,4,5,5,5,5
155,2288.49,0.5,0.4,718556.25,460677.07,193,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2286.57,0.4,0.4,718555.17,460670.86,194,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2281.07,11.1,6.9,718548.6,460665.64,195,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2285.76,1.3,1.1,718545.79,460661.53,196,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2280.74,0.7,0.7,718543.07,460649.89,199,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2286.07,0.8,0.8,718546.99,460653.8,200,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2281.14,1.0,1.0,718547.97,460650.53,201,198,0,0,1,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5
162,2283.33,1.0,1.0,718542.99,460654.86,202,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2284.68,1.0,1.0,718553.48,460657.17,203,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2261.34,13.9,8.0,718552.15,460640.92,204,201,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,5,5,5,5,5,5
165,2278.92,0.7,0.7,718561.0,460655.16,205,202,0,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
166,2281.67,0.8,0.8,718555.52,460662.39,208,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
167,2286.74,0.7,0.7,718550.7,460666.63,209,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2287.13,0.5,0.4,718560.01,460671.18,211,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2285.02,0.4,0.4,718567.32,460668.67,212,209,0,0,1,2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
170,2281.54,0.6,0.6,718564.35,460662.84,213,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
171,2282.61,0.7,0.6,718571.44,460664.85,214,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
172,2277.67,0.5,0.4,718578.79,460662.62,215,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
173,2273.78,0.5,0.5,718586.14,460663.5,216,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2269.69,0.6,0.5,718590.06,460664.84,217,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2267.52,0.6,0.6,718590.23,460672.62,219,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,2265.33,0.6,0.6,718592.31,460677.36,220,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2254.22,13.9,11.2,718590.88,460676.49,221,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,2265.36,0.9,0.7,718594.44,460690.39,222,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
179,2266.52,1.0,0.9,718602.77,460700.13,223,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2265.91,0.7,0.6,718605.65,460705.7,224,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
181,2262.94,0.8,0.7,718611.78,460705.85,225,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2265.05,0.5,0.5,718610.09,460711.77,226,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3
183,2268.09,0.9,0.7,718613.93,460720.57,227,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2261.98,0.5,0.5,718620.96,460720.53,228,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
185,2267.92,0.6,0.5,718607.82,460720.35,229,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
186,2267.24,0.5,0.4,718597.22,460702.38,232,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2268.99,0.9,0.7,718595.6,460698.36,233,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2268.89,0.7,0.6,718588.31,460693.4,234,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2268.25,0.5,0.4,718586.64,460688.25,235,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
